الكود,اسم المنتج,البراند,بند العناية
14,EXPRESS TOUCH 5 L,crax,العناية بالتابلوه
15,THANDER 5 L,crax,العناية بالسطح الخارجى
16,SHINE & BLACK 5 L,crax,العناية بالاطارات
17,ENGINE GAURD,crax,العناية بالمحرك
18,فوطة موهير لوكس على كارت,TOOLS,تولز
19,مساحة 3 مرحلة اسود,TOOLS,تولز
20,سبونج غسيل,TOOLS,تولز
21,فرشة تنظيف جنوط,TOOLS,تولز
22,فرشة تكييف,tools,المستلزمات
23,مساحة زجاج بمقبض سيليكون,TOOLS,تولز
24,اسفنجة توزيع بوليش,TOOLS,تولز
126,SHINE & BLACK 1 K.G,crax,العناية بالاطارات
26,طقم بوليش 3 قطعة بيد,tools,المستلزمات
125,ECO WAX  5 K.G,crax,العناية بالتابلوه
28,بفر 7 بوصة,TOOLS,تولز
29,فوطة على كارت خفيفة,TOOLS,تولز
30,فوطة 40×40 وسط,TOOLS,تولز
31,فوطة 30×40 وسط,TOOLS,تولز
124,فوطة 40*40 دبل 850 جرام,TOOLS,تولز
33,طقم تطويل بفر,tools,المستلزمات
34,مساحة 3 مرحلة ازرق,TOOLS,تولز
35,تورنيدو لوكس علبة بيضاء,TOOLS,تولز
36,تورنيدو عادى علبة زرقاء,TOOLS,تولز
39,بفر فرو 7 بوصة,TOOLS,تولز
40,طقم فرشة 5 قطعة,tools,المستلزمات
41,بكرة لزق عازل,TOOLS,تولز
42,طقم خرطوم بفر معدنى,TOOLS,تولز
43,فوطه 3 علي كرت,TOOLS,تولز
44,فوطة اوتوبرو,TOOLS,تولز
45,فوطة مكروقيبر صفرا,TOOLS,تولز
46,فوطة اوتوبرو تنشيف,TOOLS,تولز
51,معطر فابريكا شجرة كارت كبير,TOOLS,تولز
53,جوانتي خفيف اوتو,tools,المستلزمات
54,اسفنجه طبلوه زرقاء,TOOLS,تولز
55,فوطة زجاج,TOOLS,تولز
56,فرشة جنط عريضة,TOOLS,تولز
57,فوطه صفرا مايكروفيبر,TOOLS,تولز
58,جوانتي كير غسيل,TOOLS,تولز
59,سفنجة غسيل على كارت كبيره,tools,المستلزمات
60,فوطة 40×60 موهير,TOOLS,تولز
61,فوطة 30×70وسط,TOOLS,تولز
62,فوطة 40 × 70 وسط,TOOLS,تولز
63,فوطة جلد غزال,TOOLS,تولز
65,فرشة تكيف علي كرت,TOOLS,تولز
66,سفنجة غسيل علي كرت,tools,المستلزمات
67,فرشة شعر,TOOLS,تولز
68,تورنيدو فيت اخضر,TOOLS,تولز
74,فوطة 30*40 دبل,TOOLS,تولز
75,فوطة 30*40 مشرشر,TOOLS,تولز
76,فوطة دبدوب,TOOLS,تولز
80,معطر فابريكا جديد,TOOLS,تولز
95,بادة طابلو زرقا جديد,tools,المستلزمات
96,فوطة 40 *60 دبل موهير جديد,TOOLS,تولز
97,فوطة 30*70 جديد,TOOLS,تولز
98,فوطة 30 *40 جديد,TOOLS,تولز
99,فوطة 40 *30جديد جديد,TOOLS,تولز
100,فوطة جلد غزال جديد,مستلزمات,المستلزمات
101,فرشة جنط زوجى,مستلزمات,المستلزمات
102,فرشة جنط فردى جديد,tools,المستلزمات
103,فرشة كاوتش كبيرة  جديد,مستلزمات,المستلزمات
104,فرشة كاوتش صغيرة جديد,مستلزمات,المستلزمات
107,فوطة 40*50 اوتو,tools,المستلزمات
69,D-wax personal user,FALS,السطح الخارجى
70,super nova personal user,FALS,السطح الخارجى
71,shampo wax personal user,FALS,السطح الخارجى
72,ultra max personal user,FALS,السطح الخارجى
73,ultra shine personal user,FALS,السطح الخارجى
81,ULTRA SHINE 4 L NEW,crystal,العناية بالاطارات
82,ULTRA SHINE 1 L NEW,crystal,العناية بالاطارات
83,DEEP BLACK 4 L NEW,crystal,العناية بالاطارات
84,DEEP BLACK 1 L NEW,crystal,العناية بالاطارات
85,ULTRA MAX GREEN 4 L,crystal,العناية بالفرش الداخلى
86,ULTRA MAX GREEN 1 L NEW,crystal,العناية بالفرش الداخلى
87,D-WAX 4 L NEW,crystal,العناية بالتابلوه
88,D-WAX 1 L NEW,crystal,العناية بالتابلوه
89,SHAMPOO WAX 4 L NEW,crystal,العناية بالسطح الخارجى
90,SHAMPOO WAX 1 L NEW,crystal,العناية بالسطح الخارجى
91,MAGNATIC SHIELD 4 L NEW,crystal,العناية بالمحرك
92,MAGNATICE SHIELD 1 L NEW,crystal,العناية بالمحرك
93,SUPER NOVA 4l new,crystal,العناية بالتابلوه
94,SUPER NOVA 1 L NEW,crystal,العناية بالتابلوه
105,NOVA SPONG,end user,العناية بالتابلوه
106,PISTOL 700,crystal,العناية بالمحرك
108,MAX EFFECT 1 L NEW,crystal,العناية بالفرش الداخلى
109,MAX EFFECTE 4  L NEW,crystal,العناية بالفرش الداخلى
110,ULTRA SHINE TANK 125,crystal,العناية بالاطارات
111,ULTRA MAX GREEN TANK 125,crystal,العناية بالفرش الداخلى
112,SHAMPOO WAX TANK 125,crystal,العناية بالسطح الخارجى
113,MAGNATIC SHIELD 25,crystal,العناية بالمحرك
114,SHAMPOO WAX 25 L NEW,crystal,العناية بالسطح الخارجى
115,ENGINE GAURD LIMETED 25 L,crax,العناية بالمحرك
116,ENGINE GAURD LIMETED 1 L,crax,العناية بالمحرك
117,CRYSTAL DOOM 1 L,crystal,العناية بالسطح الخارجى
118,CRYSTAL DOOM 4 L,crystal,العناية بالسطح الخارجى
119,ECO WAX,crystal,العناية بالتابلوه
120,EXPRESS TOUCH 1 L,crax,العناية بالتابلوه
121,WIND SHIELD 1 L,crax,العناية بالسطح الخارجى
122,فوطة فريكلا وش واحد,tools,المستلزمات
123,فوطة فريكلا وشين,tools,المستلزمات
127,كارت فابريكا vip كبير,TOOLS,تولز
128,ECO WAX  1 K.G,crystal,العناية بالتابلوه
129,ENGINE GAURD UNLIMETED 1 L,crax,العناية بالمحرك
130,MAX EFFECT 25 li new,crystal,العناية بالفرش الداخلى
131,PISTOL 25 LI,crystal,العناية بالمحرك
132,MAGNATIC SHIELD TANK 120 L,crystal,العناية بالمحرك
133,SUPER NOVA 200 ML,end user,العناية بالتابلوه
134,SUPER NOVA 100 ML,end user,العناية بالتابلوه
135,SUPER NOVA 50 ML,end user,العناية بالتابلوه
136,D WAX 200 ML,end user,العناية بالتابلوه
137,D WAX 100 ML,end user,العناية بالتابلوه
138,D WAX 50 ML,end user,العناية بالتابلوه
139,ECO WAX  200 ML,end user,العناية بالتابلوه
140,ECO WAX  100 ML,end user,العناية بالتابلوه
141,ECO WAX  50 ML,end user,العناية بالتابلوه
142,CRYSTAL DOOM 100 ML,end user,العناية بالسطح الخارجى
143,CRYSTAL DOOM 50 ML,end user,العناية بالسطح الخارجى
144,SHAMPOO WAX UNLIMITED 1 L,end user,العناية بالسطح الخارجى
145,SHAMPOO WAX UNLIMITED 200 ML,end user,العناية بالسطح الخارجى
146,MAX EFFECT 100 ML,end user,العناية بالفرش الداخلى
147,ULTRA MAX GREEN 200 ML,end user,العناية بالفرش الداخلى
148,ULTRA SHINE 700 ML,end user,العناية بالاطارات
149,ULTRA SHINE 200 ML,end user,العناية بالاطارات
150,DEEP BLACK 200 ML,end user,العناية بالاطارات
151,GLOW AWAY 200 ML,end user,العناية بالسطح الخارجى
152,GLOW AWAY 100 ML,end user,العناية بالسطح الخارجى
153,SHINE & SHIELD 700 ML,end user,العناية بالسطح الخارجى
154,BLACK RECHARGE 700 ML,end user,العناية بالسطح الخارجى
155,BLACK RECHARGE 200 ML,end user,العناية بالسطح الخارجى
156,عرض 25%كرتونة 12 لتر,offers,السطح الخارجى
157,عرض 20%كرتونة 12 لتر,offers,السطح الخارجى
158,عرض 20%كرتونة 4 لتر×3,offers,السطح الخارجى
159,ECO WAX 25 li,crystal,العناية بالتابلوه
160,ULTRA SHINE 25LI,crystal,العناية بالاطارات
161,فوطة ماكرو رمادى,tools,المستلزمات
162,PISTOL TANK  125,crystal,العناية بالمحرك
163,PISTOL TANK 250,crystal,العناية بالمحرك
164,دواسة سلوفان ربع 4 لون,tools,المستلزمات
165,فوطة 35*70اوتو,tools,المستلزمات
166,فوطة 40*75 اوتو,tools,المستلزمات
167,فوطة 30*60 اوتو,tools,المستلزمات
168,فوطة 40*40عش النحل اوتو,tools,المستلزمات
169,فوطة 40*40 اكس اوتو,tools,المستلزمات
170,فوطة 40*40خفيفة اوتو,tools,المستلزمات
171,فوطة 40*60عش النحل اوتو,tools,المستلزمات
172,سفنجة شرشوبة اوتو,tools,المستلزمات
173,سفنجة مصرى اوتو,tools,المستلزمات
174,فرشة علبة زرقا متعدد اوتو,tools,المستلزمات
175,مسدس مياه 8 مرحلة اوتو,tools,المستلزمات
176,طقم صيانة اوتو,tools,المستلزمات
177,طفاية بدون غطا اوتو,tools,المستلزمات
178,TURTLE 53365 /T5,TURTLE WAX,السطح الخارجى
179,TURTLE 53369/T20,TURTLE WAX,السطح الخارجى
180,TURTLE 53377 /TB3,TURTLE WAX,السطح الخارجى
181,TURTLE 53371 /T30,TURTLE WAX,السطح الخارجى
182,TURTLE 53373 /T40,TURTLE WAX,السطح الخارجى
183,TURTLE  /T10,TURTLE WAX,السطح الخارجى
184,TURTLE 53378,TURTLE WAX,السطح الخارجى
185,TURTLE 53375,TURTLE WAX,السطح الخارجى
186,TURTLE 51796,TURTLE WAX,السطح الخارجى
187,GRAPHITE HIGHT END 85/20,crystal,العناية بالاطارات
188,GRAPHITE SELECTED 70/30,crystal,العناية بالاطارات
189,GRAPHITE CLASSIC 125/13,crystal,العناية بالاطارات
190,BLACK RECHARGE 1 LI,crystal,العناية بالسطح الخارجى
191,SHINE &SHIELD 1 LI,crystal,العناية بالسطح الخارجى
192,GLOW AWAY 1 LI,crystal,العناية بالسطح الخارجى
